hc-key,al,at,be,bg,cy,cz,de,dk,ee,fi,fr,gr,hr,hu,is,ie,it,lt,lu,lv,me,mk,mt,nl,pl,pt,ro,rs,si,sk,es,se,tr,gb
1/11/2004,,16.2611281,15.9423306,14.01648008,11.798206,19.56911628,29.51456311,10.47427043,10.316422,17.5421791,23.15811471,16.246254,30.969588,16.51313274,,12.569091,16.57993529,9.021958084,12.42789243,15.92179104,,,10.360312,18.39112289,19.14394,14.04311,7.019051383,,16.760554,17.78825879,16.43584555,23.534319,8.069178189,25.02031328
1/5/2005,,26.6885,24.70072,20.74931729,14.85350495,32.32059095,38.09240783,13.00683159,20.89605894,20.49663086,36.63030534,26.370154,47.083462,23.49835533,,22.73194831,26.47687849,20.87471286,15.01182738,22.41898522,,,18.611512,25.99881412,28.16337,24.28274627,14.95656375,,27.57936746,26.01606498,31.07985352,32.82830078,10.84776219,34.81881544
1/11/2005,,30.99823529,27.81666016,17.68604695,14.93207769,31.39638243,39.03867679,13.58569767,16.873753,23.71638132,37.77769871,23.635213,42.853607,20.7155775,,19.23739088,25.807477,22.04620098,13.70608235,32.63615682,,,17.554388,25.324122,24.317309,22.36376869,16.361866,,29.24093424,27.86058394,26.65870936,32.03480252,11.43806965,34.4514022
1/5/2006,,20.75722714,25.92631373,19.47340197,12.41809467,24.97509363,36.47650531,10.25339286,18.86298703,21.52657058,38.11495392,25.438232,42.52637,12.61620784,,20.25594217,21.039663,20.70192444,14.66623062,30.53124754,,,23.913426,21.33358176,22.143627,23.3741018,15.94641588,,26.29021684,24.85194805,25.71912438,26.37197345,15.608599,35.9119984
1/10/2006,,26.14906496,22.23067797,19.66980676,16.28856859,24.91734189,39.36034039,14.27006979,13.91852,23.14428,36.02469712,22.65844,46.08589,21.67351244,,20.68747,30.52292247,18.26051,17.1732,25.71436453,,,16.68834,20.52821218,20.72342,23.99497487,15.89712512,,19.35894277,18.372913,25.57423729,19.92159921,19.29802985,38.68780872
1/5/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2007,,24.74105419,20.58777886,17.17495394,19.48584,29.93347197,35.38767396,12.80115115,11.4031917,21.86549855,23.89987452,24.5681,48.7069,26.07484,,18.45048659,27.77755981,17.05702756,16.43928287,27.03055666,,17.0911001,18.806,21.07060697,15.89385,25.26197,17.99641,,23.625778,21.39893428,19.81849,22.54153539,18.78984064,36.99035843
1/5/2008,,28.98925,23.32254237,16.48388,11.81035714,27.19149901,35.86861884,12.10577114,12.76409543,20.65278884,30.97672115,29.73101,44.85199,29.16258,,15.79505976,30.84194716,19.46481881,22.00175649,32.72333333,,17.07662028,14.42024,17.87338136,19.06067,24.25277722,15.90233562,,22.13635095,15.69186175,14.98902227,22.54499503,27.98464606,45.69791294
1/11/2008,,27.40140578,29.83462076,19.04360835,15.16065606,29.70665692,32.34974954,11.98051506,17.81776,17.41956175,33.02141188,36.20453,51.33922,32.54852295,,29.23376,39.62571159,25.48203759,19.87892,36.1594511,,24.1314668,13.10616,13.18182517,24.58186,28.69977,21.05764482,,27.78581511,16.46005964,25.21414,18.92835329,33.39129611,43.15155497
1/2/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2009,,27.24520197,30.53534079,21.05645161,20.07538614,35.38646252,32.43840237,14.5420751,19.76200795,24.19824111,36.61888247,39.83023,56.60234,35.88167331,,30.56259443,30.4946332,20.0567815,8.446471698,38.16921627,,25.47761905,15.22382,20.83407,27.95387,25.59749505,23.06449605,,39.83571146,18.16448826,32.16046906,20.85191011,20.92317413,50.22980207
1/11/2009,,26.84633981,32.58192843,12.39725198,19.25620553,28.47322917,31.53832107,15.84681909,16.48643713,25.87920432,40.10776119,29.34118,52.16644,29.58069404,,32.31281899,25.27387066,23.81099707,11.42414343,39.5515507,,21.004199,22.32306,21.39783865,26.68963,18.77866341,18.22030362,,39.24637438,19.72941346,30.67039216,22.09534884,25.53911178,52.11491172
1/5/2010,,30.4719,35.26506417,20.02673,30.3657002,37.85281097,39.9006303,14.2225422,14.95891,27.82722278,37.24831373,49.20776,49.61946,19.66358472,29.83463878,39.82283037,33.04047665,27.03988224,15.9700198,47.2319342,,31.73086832,22.34912,23.65708786,29.14241,41.70889756,30.71145098,,42.73313861,22.02882181,39.94939364,19.71934286,35.11141,51.79000464
1/11/2010,,34.16129,31.73042871,16.0357,27.83065476,37.53824219,37.6736376,19.06555767,17.0854,29.04572139,41.57337838,52.21345,49.51995,20.23739088,33.54275449,40.85288977,32.2950736,21.56806965,15.59807018,36.0686341,,28.56622159,22.00244,17.35279808,23.98384,36.14819253,30.15578422,,42.3011753,20.46238603,37.08771229,16.58691176,39.94595,45.12055823
1/5/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2011,,35.91559441,36.77116732,18.12473579,31.61819444,49.62058882,40.1670632,21.88361744,26.71254237,27.22575848,48.124258,64.57534,58.72016,34.98790402,39.70758,52.81183251,42.86984481,33.94094542,17.35024096,45.19181368,30.15986111,31.17607955,28.36676,28.966199,34.93389,47.4857485,34.24574679,,51.05376598,40.55788,54.63678287,18.99530333,31.38894106,57.08284573
1/5/2012,,38.42322256,36.12909851,25.63554134,45.81437624,58.30002994,36.8631476,22.39550149,26.33584,28.77476523,30.93480636,72.50651349,49.20987,42.60517822,42.07888,50.7488,55.9386583,35.41508342,16.90368836,44.16139027,37.86528079,30.75588068,30.55736,31.5069664,42.05489,57.34079208,33.68728798,45.12552941,51.22040078,36.53889,66.82978131,20.01561335,24.8144,59.72282858
1/11/2012,,33.868429,41.18061106,21.53859804,49.84262425,55.89315055,35.84848777,24.37415584,30.47911266,24.394429,41.93266865,75.28381618,52.5484,35.93487354,37.16093625,50.02536,46.66929264,31.78979392,24.75599602,40.06621167,32.38972468,28.1307197,25.91562,28.70245079,36.84928,49.03326108,33.29726824,47.65004836,53.74823471,40.45144,65.88675944,18.73704568,30.81803,52.68787891
1/5/2013,,32.39442442,37.20615005,24.39378037,57.49320792,55.4535964,33.80475122,24.43631841,34.19868263,27.40284519,43.65139352,75.17811,49.59888,33.03382668,18.51009785,52.38358283,53.15897132,31.2514966,24.71544554,42.12018962,33.63181281,24.56589962,11.50088,33.72641528,46.73296,65.83868526,34.47429363,46.70431412,58.07702275,43.18173,70.8959545,21.28300692,32.93638362,52.62894736
1/11/2013,,32.30585271,34.80543744,24.69117819,57.70570577,53.47375,37.76126196,26.82517483,27.78096614,28.35252495,53.83762415,70.42956,52.6323,30.92953,26.49642,49.40406375,57.03548,31.10447573,19.83265748,38.74432969,40.07430862,27.99004771,13.89384,40.47519136,35.14278,62.01034384,37.71447147,43.11413926,53.70161142,42.37477,66.92054348,20.14931305,34.45784216,51.98218906
1/5/2014,,40.95731,35.61698617,26.04725326,50.87088,47.06006924,31.76706726,23.66379722,19.94922405,19.92968379,46.35506972,67.52899705,45.36963111,35.18110396,17.51271457,46.53598205,49.28014479,25.61917241,22.51677866,35.84425889,27.59849365,23.90295257,12.32694444,27.01125,35.62594406,61.42810233,28.86104697,25.08011173,53.13506232,51.27833008,74.01642788,18.76729167,22.22624756,46.859626
1/11/2014,12.98557331,30.51104651,38.31603397,29.64115308,55.07556,38.78878673,30.31464248,21.40533865,13.19053892,18.37886228,43.59574111,69.62755203,43.7161149,30.65802074,20.65206,40.99568862,47.43338583,21.80648703,21.94059172,28.32312064,24.57841418,21.37192999,15.26393281,25.24484158,23.4753727,43.73639801,25.62892927,27.22051131,43.73634799,35.62516876,55.67886256,16.33633431,27.3525207,43.64079271
1/5/2015,10.0074,38.75545543,29.3636785,25.09742239,52.44,34.65319295,26.66823462,16.14577451,13.00692308,10.54675222,43.42160481,43.80930931,33.54907738,24.59579147,,32.12376228,39.82131323,14.97467597,18.8953373,26.09804975,22.90233962,15.13184834,10.2569246,23.90037624,28.52456914,40.24041,19.7604568,25.97976355,47.12015873,31.05323501,49.62213573,16.25466731,8.387356436,35.70692802
