hc-key,01/05/2015
al,10.0074
at,38.75545543
be,29.3636785
bg,25.09742239
cy,52.44
cz,34.65319295
de,26.66823462
dk,16.14577451
ee,13.00692308
fi,10.54675222
fr,43.42160481
gr,43.80930931
hr,33.54907738
hu,24.59579147
is,
ie,32.12376228
it,39.82131323
lt,14.97467597
lu,18.8953373
lv,26.09804975
me,22.90233962
mk,15.13184834
mt,10.2569246
nl,23.90037624
pl,28.52456914
pt,40.24041
ro,19.7604568
rs,25.97976355
si,47.12015873
sk,31.05323501
es,49.62213573
se,16.25466731
tr,8.387356436
gb,35.70692802